"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.69","45.7.37.2","UDP","73","62896  >  7180 Len=31"
"2","0.009589","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"3","0.015225","45.7.37.2","192.168.0.69","UDP","328","7180  >  62896 Len=286"
"4","0.015358","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"5","0.029961","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"6","0.050751","45.7.37.2","192.168.0.69","UDP","176","7180  >  62896 Len=134"
"7","0.050751","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"8","0.050890","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"9","0.080631","45.7.37.2","192.168.0.69","UDP","79","7180  >  62896 Len=37"
"10","0.080762","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"11","0.114057","45.7.37.2","192.168.0.69","UDP","79","7180  >  62896 Len=37"
"12","0.114188","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"13","0.149625","45.7.37.2","192.168.0.69","UDP","138","7180  >  62896 Len=96"
"14","0.149916","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"15","0.195311","45.7.37.2","192.168.0.69","UDP","245","7180  >  62896 Len=203"
"16","0.195434","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"17","0.213154","45.7.37.2","192.168.0.69","UDP","501","7180  >  62896 Len=459"
"18","0.213348","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"19","0.233254","192.168.0.69","45.7.37.2","UDP","77","62896  >  7180 Len=35"
"21","0.250734","45.7.37.2","192.168.0.69","UDP","118","7180  >  62896 Len=76"
"22","0.250932","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"26","0.283112","45.7.37.2","192.168.0.69","UDP","79","7180  >  62896 Len=37"
"27","0.283224","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"28","0.287174","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"29","0.316153","45.7.37.2","192.168.0.69","UDP","270","7180  >  62896 Len=228"
"30","0.316275","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"32","0.332957","192.168.0.69","45.7.37.2","UDP","86","62896  >  7180 Len=44"
"33","0.350883","45.7.37.2","192.168.0.69","UDP","79","7180  >  62896 Len=37"
"34","0.351001","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"36","0.383654","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"37","0.384160","45.7.37.2","192.168.0.69","UDP","205","7180  >  62896 Len=163"
"38","0.384273","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"39","0.415892","45.7.37.2","192.168.0.69","UDP","225","7180  >  62896 Len=183"
"40","0.416037","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"41","0.428511","192.168.0.69","45.7.37.2","UDP","77","62896  >  7180 Len=35"
"42","0.466232","45.7.37.2","192.168.0.69","UDP","630","7180  >  62896 Len=588"
"43","0.466430","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"44","0.479323","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"45","0.480502","45.7.37.2","192.168.0.69","UDP","180","7180  >  62896 Len=138"
"47","0.480604","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"48","0.487154","192.168.0.69","45.7.37.2","UDP","73","62896  >  7180 Len=31"
"49","0.517334","45.7.37.2","192.168.0.69","UDP","204","7180  >  62896 Len=162"
"50","0.517468","192.168.0.69","45.7.37.2","UDP","69","62896  >  7180 Len=27"
"51","0.538042","45.7.37.2","192.168.0.69","UDP","61","7180  >  62896 Len=19"
"52","0.544051","192.168.0.69","45.7.37.2","UDP","77","62896  >  7180 Len=35"
"53","0.548649","45.7.37.2","192.168.0.69","UDP","161","7180  >  62896 Len=119"
