"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.006334","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"10","0.012078","192.207.0.2","192.168.0.69","UDP","162","7329  >  63834 Len=120"
"31","0.044447","192.207.0.2","192.168.0.69","UDP","118","7329  >  63834 Len=76"
"46","0.071183","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"54","0.078655","192.207.0.2","192.168.0.69","UDP","360","7329  >  63834 Len=318"
"81","0.110921","192.207.0.2","192.168.0.69","UDP","195","7329  >  63834 Len=153"
"87","0.120335","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"110","0.151254","192.207.0.2","192.168.0.69","UDP","294","7329  >  63834 Len=252"
"114","0.153255","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"134","0.178119","192.207.0.2","192.168.0.69","UDP","274","7329  >  63834 Len=232"
"180","0.210888","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"181","0.212460","192.207.0.2","192.168.0.69","UDP","73","7329  >  63834 Len=31"
"215","0.243921","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"217","0.245235","192.207.0.2","192.168.0.69","UDP","110","7329  >  63834 Len=68"
"257","0.278392","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"258","0.279177","192.207.0.2","192.168.0.69","UDP","327","7329  >  63834 Len=285"
"293","0.311623","192.207.0.2","192.168.0.69","UDP","207","7329  >  63834 Len=165"
"330","0.345619","192.207.0.2","192.168.0.69","UDP","105","7329  >  63834 Len=63"
"345","0.357282","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"369","0.379575","192.207.0.2","192.168.0.69","UDP","547","7329  >  63834 Len=505"
"407","0.413644","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"412","0.419295","192.207.0.2","192.168.0.69","UDP","723","7329  >  63834 Len=681"
"441","0.445754","192.207.0.2","192.168.0.69","UDP","242","7329  >  63834 Len=200"
