Tempo Max | Perda de Pacote | Oscilação | Tempo de Trajeto Completo
51ms | Perda de Pacote:0% | 0.2ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.6ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.6ms | Trajeto: 50ms
75ms | Perda de Pacote:0% | 1.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
52ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 1.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 50ms
53ms | Perda de Pacote:0% | 0.6ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
65ms | Perda de Pacote:0% | 0.6ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.8ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
52ms | Perda de Pacote:0% | 0.6ms | Trajeto: 51ms
52ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.7ms | Trajeto: 51ms
52ms | Perda de Pacote:0% | 0.5ms | Trajeto: 50ms
55ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.7ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.7ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
52ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.3ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
52ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.5ms | Trajeto: 50ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.2ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 51ms
53ms | Perda de Pacote:0% | 0.7ms | Trajeto: 51ms
78ms | Perda de Pacote:0% | 0.6ms | Trajeto: 51ms
53ms | Perda de Pacote:0% | 2.2ms | Trajeto: 52ms
53ms | Perda de Pacote:0% | 0.6ms | Trajeto: 51ms
51ms | Perda de Pacote:0% | 0.4ms | Trajeto: 50ms
52ms | Perda de Pacote:0% | 0.9ms | Trajeto: 52ms
